time,PV power,Direct-in-plane,Sun Height,Air Temperature,Wind speed
20200101:0011,0,0,0,5.77,0.62
20200101:0111,0,0,0,5.78,1.1
20200101:0211,0,0,0,5.45,1.45
20200101:0311,0,0,0,4.76,1.79
20200101:0411,0,0,0,4.23,1.93
20200101:0511,0,0,0,3.9,1.79
20200101:0611,0,0,0,3.59,1.86
20200101:0711,0,0,0,4.31,1.79
20200101:0811,0,0,0,4.48,2
20200101:0911,0,0.83,2.15,4.12,2.07
20200101:1011,4.47,14.37,7.91,4.48,2.07
20200101:1111,9.7,22.45,11.94,5.47,2.07
20200101:1211,49.28,72.31,13.94,6.16,2.07
20200101:1311,108.5,139.14,13.73,6.93,2.55
20200101:1411,410.44,478.48,11.32,7.37,2.62
20200101:1511,83.93,111.86,6.93,7.35,3.03
20200101:1611,0,0,0,7.03,3.31
20200101:1711,0,0,0,6.75,3.52
20200101:1811,0,0,0,6.47,3.79
20200101:1911,0,0,0,6.61,3.93
20200101:2011,0,0,0,6.8,4.28
20200101:2111,0,0,0,6.91,4.55
20200101:2211,0,0,0,7.13,4.83
20200101:2311,0,0,0,7.22,4.97
20200102:0011,0,0,0,7.35,5.17
20200102:0111,0,0,0,7.23,5.24
20200102:0211,0,0,0,7.17,5.24
20200102:0311,0,0,0,7.12,5.17
20200102:0411,0,0,0,7.46,5.24
20200102:0511,0,0,0,7.73,5.31
20200102:0611,0,0,0,7.99,5.38
20200102:0711,0,0,0,8.67,5.59
20200102:0811,0,0,0,8.89,5.66
20200102:0911,0,2.49,2.18,9.05,5.86
20200102:1011,76.67,103.7,7.95,9.31,6
20200102:1111,103.41,134.1,12,9.5,5.93
20200102:1211,44.76,67.76,14.02,9.73,5.66
20200102:1311,88.61,118.32,13.82,10.27,5.66
20200102:1411,261.94,310.12,11.43,10.63,6.21
20200102:1511,27.15,46.26,7.05,10.84,6.14
20200102:1611,0,0,0,10.47,5.93
20200102:1711,0,0,0,10.25,5.59
20200102:1811,0,0,0,10.1,5.31
20200102:1911,0,0,0,10.02,4.34
20200102:2011,0,0,0,9.85,4
20200102:2111,0,0,0,9.73,3.72
20200102:2211,0,0,0,9.48,3.31
20200102:2311,0,0,0,8.5,4.69
20200103:0011,0,0,0,7.13,5.03
20200103:0111,0,0,0,6.45,4.55
20200103:0211,0,0,0,5.99,4.34
20200103:0311,0,0,0,5.75,3.93
20200103:0411,0,0,0,5.46,3.52
20200103:0511,0,0,0,5.09,3.45
20200103:0611,0,0,0,4.74,3.24
20200103:0711,0,0,0,4.08,3.03
20200103:0811,0,0,0,3.92,2.76
20200103:0911,0.78,7.46,2.22,3.68,2.48
20200103:1011,292.92,338.49,8,3.97,2.28
20200103:1111,446.87,516.46,12.07,4.98,2.14
20200103:1211,556.65,651.19,14.11,6.09,2.28
20200103:1311,502.84,586.82,13.93,6.88,2.48
20200103:1411,274.05,322.58,11.54,7.29,2.41
20200103:1511,94.08,123.23,7.17,7.27,2.9
20200103:1611,0,0,0,6.86,2.69
20200103:1711,0,0,0,6.16,2.62
20200103:1811,0,0,0,5.95,2.62
20200103:1911,0,0,0,6.01,2.69
20200103:2011,0,0,0,5.93,2.76
20200103:2111,0,0,0,5.79,2.9
20200103:2211,0,0,0,5.69,2.9
20200103:2311,0,0,0,5.69,2.9
20200104:0011,0,0,0,5.66,2.97
20200104:0111,0,0,0,5.73,2.9
20200104:0211,0,0,0,5.76,2.83
20200104:0311,0,0,0,5.98,2.83
20200104:0411,0,0,0,5.97,2.9
20200104:0511,0,0,0,5.88,2.9
20200104:0611,0,0,0,5.78,2.76
20200104:0711,0,0,0,5.63,2.83
20200104:0811,0,0,0,5.6,2.69
20200104:0911,0,1.66,2.26,5.77,2.62
20200104:1011,5.53,16.16,8.06,5.88,2.62
20200104:1111,18.11,34.12,12.15,6.51,2.48
20200104:1211,111.84,142.91,14.2,7.02,2.62
20200104:1311,56.94,81.57,14.04,7.53,2.69
20200104:1411,51.94,75.7,11.67,7.86,2.48
20200104:1511,19.34,35.85,7.3,7.98,2.76
20200104:1611,0,0,0,7.65,2.62
20200104:1711,0,0,0,7.63,2.83
20200104:1811,0,0,0,7.68,3.1
20200104:1911,0,0,0,7.68,3.24
20200104:2011,0,0,0,7.78,3.24
20200104:2111,0,0,0,7.81,3.31
20200104:2211,0,0,0,7.9,3.45
20200104:2311,0,0,0,8.02,3.52
20200105:0011,0,0,0,8.13,3.59
20200105:0111,0,0,0,8.18,3.59
20200105:0211,0,0,0,8.02,3.52
20200105:0311,0,0,0,7.9,3.59
20200105:0411,0,0,0,7.64,3.59
20200105:0511,0,0,0,7.6,3.66
20200105:0611,0,0,0,7.76,3.86
20200105:0711,0,0,0,8.03,3.93
20200105:0811,0,0,0,8.39,4
20200105:0911,0,1.66,2.31,8.7,4.14
20200105:1011,46.28,68.94,8.12,9.03,4.28
20200105:1111,62.5,88.28,12.23,9.37,4.41
20200105:1211,26.1,44.9,14.3,9.63,4.41
20200105:1311,74.75,102.67,14.15,10,4.97
20200105:1411,118.9,151.93,11.8,10.02,4.48
20200105:1511,29.03,48.49,7.44,9.93,4.28
20200105:1611,0,0,0,9.71,4.21
20200105:1711,0,0,0,9.36,4.28
20200105:1811,0,0,0,9,4.48
20200105:1911,0,0,0,8.65,4.55
20200105:2011,0,0,0,8.31,4.83
20200105:2111,0,0,0,7.96,5.1
20200105:2211,0,0,0,7.8,5.45
20200105:2311,0,0,0,7.78,5.79
20200106:0011,0,0,0,7.94,6.14
20200106:0111,0,0,0,8.09,6.48
20200106:0211,0,0,0,8.16,6.83
20200106:0311,0,0,0,8.18,7.17
20200106:0411,0,0,0,8.33,7.38
20200106:0511,0,0,0,8.46,7.52
20200106:0611,0,0,0,8.75,7.52
20200106:0711,0,0,0,8.79,7.24
20200106:0811,0,0,0,8.85,6.69
20200106:0911,0,1.66,2.36,8.95,5.45
20200106:1011,52.9,76.64,8.19,8.98,4.41
20200106:1111,261.23,306.46,12.32,8.62,5.79
20200106:1211,49.57,73.09,14.41,8.2,5.31
20200106:1311,376.63,435.13,14.28,8.52,5.79
20200106:1411,102.46,132.69,11.93,8.53,5.66
20200106:1511,275.54,325,7.59,8.4,5.1
20200106:1611,0,0.9,1.58,8.05,4.55
20200106:1711,0,0,0,7.42,3.59
20200106:1811,0,0,0,6.96,3.1
20200106:1911,0,0,0,6.46,2.9
20200106:2011,0,0,0,6.01,2.97
20200106:2111,0,0,0,5.98,3.1
20200106:2211,0,0,0,6.22,3.24
20200106:2311,0,0,0,6.57,3.59
20200107:0011,0,0,0,7.15,4
20200107:0111,0,0,0,7.24,4.62
20200107:0211,0,0,0,7.76,5.1
20200107:0311,0,0,0,8.16,5.31
20200107:0411,0,0,0,8.99,5.59
20200107:0511,0,0,0,9.25,5.66
20200107:0611,0,0,0,9.95,5.59
20200107:0711,0,0,0,11.09,5.59
20200107:0811,0,0,0,11.48,5.79
20200107:0911,1.4,8.98,2.42,11.71,6
20200107:1011,57.87,83.25,8.27,11.9,6.14
20200107:1111,37.91,60,12.42,12.13,6.34
20200107:1211,55.77,81.53,14.53,12.26,6.34
20200107:1311,40.79,63.76,14.41,12.41,6.14
20200107:1411,3.73,13.47,12.08,12.68,6
20200107:1511,0.58,7.18,7.74,12.85,5.93
20200107:1611,0,0.9,1.73,12.97,6.07
20200107:1711,0,0,0,13.06,6.34
20200107:1811,0,0,0,12.82,6.62
20200107:1911,0,0,0,12.06,6.28
20200107:2011,0,0,0,11.24,6.14
20200107:2111,0,0,0,10.64,5.93
20200107:2211,0,0,0,10.1,5.59
20200107:2311,0,0,0,9.31,5.1
20200108:0011,0,0,0,8.61,4.69
20200108:0111,0,0,0,8.05,4.28
20200108:0211,0,0,0,7.64,4.07
20200108:0311,0,0,0,7.39,3.79
20200108:0411,0,0,0,7.08,3.45
20200108:0511,0,0,0,6.84,3.03
20200108:0611,0,0,0,6.67,2.69
20200108:0711,0,0,0,6.82,3.1
20200108:0811,0,0,0,6.65,2.83
20200108:0911,0,4.49,2.49,6.48,2.62
20200108:1011,47.75,70.1,8.36,6.48,2.34
20200108:1111,385.53,449.97,12.52,6.83,1.86
20200108:1211,112.82,144.28,14.65,7.27,2.28
20200108:1311,20.08,36.82,14.55,7.39,2.62
20200108:1411,54.72,78.85,12.23,7.32,2.07
20200108:1511,155.07,191.74,7.89,7.12,1.24
20200108:1611,0,0.9,1.89,6.81,0.76
20200108:1711,0,0,0,6.34,1.03
20200108:1811,0,0,0,5.75,1.38
20200108:1911,0,0,0,5.53,2.76
20200108:2011,0,0,0,5.39,3.24
20200108:2111,0,0,0,4.94,3.17
20200108:2211,0,0,0,4.55,3.45
20200108:2311,0,0,0,3.48,3.72
20200109:0011,0,0,0,3.24,4
20200109:0111,0,0,0,2.85,3.79
20200109:0211,0,0,0,2.34,3.79
20200109:0311,0,0,0,2.15,3.31
20200109:0411,0,0,0,2.3,2.62
20200109:0511,0,0,0,2.45,1.93
20200109:0611,0,0,0,2.54,1.03
20200109:0711,0,0,0,2.56,1.03
20200109:0811,0,0,0,2.41,0.9
20200109:0911,0,1.8,2.57,2.39,0.83
20200109:1011,34.36,53.56,8.46,2.52,1.03
20200109:1111,41.03,61.74,12.64,2.72,0.97
20200109:1211,59.49,83.22,14.78,3.04,0.9
20200109:1311,131.58,162.7,14.69,3.31,1.38
20200109:1411,77.97,103.67,12.38,3.41,2.28
20200109:1511,70.5,95.26,8.06,3.56,2.69
20200109:1611,0,0.9,2.06,3.56,2.28
20200109:1711,0,0,0,3.45,1.45
20200109:1811,0,0,0,3.17,1.24
20200109:1911,0,0,0,2.69,2.21
20200109:2011,0,0,0,2.99,2.62
20200109:2111,0,0,0,3.8,3.52
20200109:2211,0,0,0,4.27,4
20200109:2311,0,0,0,4.31,4.07
20200110:0011,0,0,0,4.08,3.66
20200110:0111,0,0,0,3.65,3.03
20200110:0211,0,0,0,3.05,2.55
20200110:0311,0,0,0,2.55,2.41
20200110:0411,0,0,0,2.28,2.41
20200110:0511,0,0,0,2.12,2.14
20200110:0611,0,0,0,2.36,1.93
20200110:0711,0,0,0,2.57,2.21
20200110:0811,0,0,0,2.7,2.41
20200110:0911,20.96,37.05,2.65,3.02,2.62
20200110:1011,372.82,426.3,8.56,3.62,2.9
20200110:1111,85.93,112.7,12.76,4.53,3.59
20200110:1211,429.32,493.08,14.92,5.64,3.59
20200110:1311,544.83,630.44,14.85,6.45,3.66
20200110:1411,71.97,98.24,12.55,7.11,4.69
20200110:1511,49.09,71.96,8.23,7.33,5.45
20200110:1611,0,0.9,2.23,7.19,5.66
20200110:1711,0,0,0,7.43,5.93
20200110:1811,0,0,0,7.93,6.21
20200110:1911,0,0,0,8.96,6.48
20200110:2011,0,0,0,9.39,6.55
20200110:2111,0,0,0,9.67,6.62
20200110:2211,0,0,0,9.88,6.69
20200110:2311,0,0,0,10.07,6.76
20200111:0011,0,0,0,10.19,6.69
20200111:0111,0,0,0,10.31,6.76
20200111:0211,0,0,0,10.41,6.76
20200111:0311,0,0,0,10.53,6.83
20200111:0411,0,0,0,10.7,6.97
20200111:0511,0,0,0,10.91,6.97
20200111:0611,0,0,0,11.16,7.03
20200111:0711,0,0,0,11.61,7.17
20200111:0811,0,0,0,11.89,7.17
20200111:0911,0,1.8,2.75,11.96,7.17
20200111:1011,12.44,26.94,8.67,11.97,6.97
20200111:1111,15.66,31.43,12.88,11.8,6.62
20200111:1211,9.99,23.35,15.06,11.54,6.07
20200111:1311,10,23.35,15.01,11.24,5.24
